refshort,fragment_id,plot_id,fragment_plot_comb,patch_type,scientific_name,sampling_effort,sampling_design,abundance,latitude,longitude
Aizen_1994,CON_C,1,CON_C_1,continuous,Ceratina_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,1,CON_C_1,continuous,Anthophoridae_gen._sp._1,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,1,CON_C_1,continuous,Augochlora_sp.,1,standardized_fragment,4,-26.569439,-65.258565
Aizen_1994,CON_C,1,CON_C_1,continuous,Dialictus_sp.,1,standardized_fragment,3,-26.569439,-65.258565
Aizen_1994,CON_C,1,CON_C_1,continuous,Aporinelles_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,1,CON_C_1,continuous,Sphecidae_gen._sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Andrenidae_gen._sp.,1,standardized_fragment,4,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Spinoliela_sp.,1,standardized_fragment,4,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Exomalopsis_sp.,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Anthophoridae_gen._sp.,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Anthophoridae_gen._sp._1,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Hypalostoroides_sp.,1,standardized_fragment,3,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Augochlora_sp.,1,standardized_fragment,7,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Caenaugochlora_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Dialictus_sp.,1,standardized_fragment,5,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Pompilidae_gen._sp._2,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Sphecidae_gen._sp.,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Solierella_sp.,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,2,CON_C_2,continuous,Polistes_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Arhysosage_ochraceae,1,standardized_fragment,3,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Arhysosage_sp.,1,standardized_fragment,5,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Andrenidae_gen._sp.,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Spinoliela_sp.,1,standardized_fragment,3,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Anthophoridae_gen._sp.,1,standardized_fragment,8,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Ptilothrix_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Trigona_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Hypalostoroides_sp.,1,standardized_fragment,14,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Stenodynerus_sp.,1,standardized_fragment,3,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Augochlora_sp.,1,standardized_fragment,7,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Dialictus_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Megachilidae_gen._sp.,1,standardized_fragment,2,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Megachilidae_gen._sp._1,1,standardized_fragment,12,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Lithurgus_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Scolioideae_gen._sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Liris_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Tachysphex_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Trypoxylon_sp.,1,standardized_fragment,8,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Brachygastra_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_C,3,CON_C_3,continuous,Polibia_sp.,1,standardized_fragment,1,-26.569439,-65.258565
Aizen_1994,CON_L,1,CON_L_1,fragmented,Augochloropsis_sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,1,CON_L_1,fragmented,Dialictus_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,1,CON_L_1,fragmented,Sphecidae_gen._sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Andrenidae_gen._sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Spinoliela_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Anthophoridae_gen._sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Anthophoridae_gen._sp._3,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Ancistroceroides_sp.,1,standardized_fragment,3,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Dialictus_sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Ichneumonidae_gen._sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Sphecidae_gen._sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,2,CON_L_2,fragmented,Solierella_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Arhysosage_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Andrenidae_gen._sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Spinoliela_sp.,1,standardized_fragment,5,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Anthophoridae_gen._sp.,1,standardized_fragment,3,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Ptilothrix_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Hypalostoroides_sp.,1,standardized_fragment,4,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Augochlora_sp.,1,standardized_fragment,6,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Dialictus_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Halictillus_sp.,1,standardized_fragment,2,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Megachilidae_gen._sp.,1,standardized_fragment,1,-26.572663,-65.270481
Aizen_1994,CON_L,3,CON_L_3,fragmented,Megachilidae_gen._sp._1,1,standardized_fragment,5,-26.572663,-65.270481
Aizen_1994,CON_S,1,CON_S_1,fragmented,Dialictus_sp.,1,standardized_fragment,4,-26.571326,-65.275725
Aizen_1994,CON_S,1,CON_S_1,fragmented,Aporinelles_sp.,1,standardized_fragment,2,-26.571326,-65.275725
Aizen_1994,CON_S,1,CON_S_1,fragmented,Sphecidae_gen._sp.,1,standardized_fragment,1,-26.571326,-65.275725
Aizen_1994,CON_S,2,CON_S_2,fragmented,Andrenidae_gen._sp.,1,standardized_fragment,2,-26.571326,-65.275725
Aizen_1994,CON_S,2,CON_S_2,fragmented,Spinoliela_sp.,1,standardized_fragment,1,-26.571326,-65.275725
Aizen_1994,CON_S,2,CON_S_2,fragmented,Ancistroceroides_sp.,1,standardized_fragment,1,-26.571326,-65.275725
Aizen_1994,CON_S,2,CON_S_2,fragmented,Caenaugochlora_sp.,1,standardized_fragment,1,-26.571326,-65.275725
Aizen_1994,CON_S,2,CON_S_2,fragmented,Dialictus_sp.,1,standardized_fragment,2,-26.571326,-65.275725
Aizen_1994,CON_S,2,CON_S_2,fragmented,Pompilidae_gen._sp._2,1,standardized_fragment,4,-26.571326,-65.275725
Aizen_1994,CON_S,3,CON_S_3,fragmented,Arhysosage_ochraceae,1,standardized_fragment,1,-26.571326,-65.275725
