refshort,continent
Aizen_1994,South America
Almeida-Gomes_2014,South America
Arroyo_Rodriguez_2016,North America
Banks_Leite_2009,South America
Bernard_2007,South America
Bogoni_2016,South America
Bolger_1997,North America
Bossart_2006,Africa
Bossart_2016,Africa
Bragagnolo_2007,South America
Cayuela_2006,North America
Chiarello_1999,South America
Develey_2004,South America
Didham_1999,South America
Fujita_2008,Asia
Garmendia_etal_2013,North America
Gaublomme_2008,Europe
Gibb_2002,Oceania
Goodman_2000,Africa
Lima_1999_a,South America
Lima_1999_b,South America
Magnago_2015,South America
Montgomery_2014,Asia
Nemesio_2010,South America
Nogueira_2016,South America
Pinho_2019c,South America
Pinho_2019d,South America
Pinho_2019e,South America
Pinho_2019f,South America
Raheem_2009,Asia
Rocha_2016,South America
Safar_2022a,South America
Silva_2022,South America
Soto_2022,South America
Struebig_2008,Asia
Uehara_Prado_2007,South America
Vasconcelos_2006,South America
