refshort,taxon,fragment_id,plot_id,fragment_plot_comb,fragment_area,patch_type,latitude,longitude,control_cont_frag,sampling_design,sampling_effort,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,200,11.0117,79.3103,1,7.2024,0,0,52.8977,79.3103,0.0139,0
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,400,9.1764,50.2183,3,5.4725,98.6056,94.1718,55.6518,49.4905,0.0815,0.3781
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,600,5.3463,40.2537,9,7.5293,129.6622,93.5121,48.9183,38.6515,0.0983,0.2567
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,800,5.8434,36.322,13,6.2159,110.988,91.2052,47.5432,27.2797,0.091,0.3153
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1000,11.7008,39.6607,11,3.3896,103.366,92.655,42.1292,38.7017,0.0987,0.2565
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1200,17.7725,42.0962,11,2.3686,103.366,93.7513,38.6854,41.3058,0.0989,0.2548
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1400,21.1211,43.6122,13,2.0649,101.4441,94.5742,35.0418,42.763,0.0978,0.2664
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1600,26.3209,44.944,14,1.7075,134.1505,95.1319,32.3172,44.4574,0.1054,0.2133
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1800,25.92,45.0844,18,1.7394,123.3267,95.0351,33.3835,44.5755,0.1086,0.198
Aizen_1994,Invertebrates,CON_C,1,CON_C_1,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,2000,27.7458,45.686,21,1.6466,133.6566,95.053,33.29,45.2043,0.1076,0.2026
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,200,11.0117,79.3103,1,7.2024,0,0,52.8977,79.3103,0.0139,0
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,400,9.1764,50.2183,3,5.4725,98.6056,94.1718,55.6518,49.4905,0.0815,0.3781
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,600,5.3463,40.2537,9,7.5293,129.6622,93.5121,48.9183,38.6515,0.0983,0.2567
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,800,5.8434,36.322,13,6.2159,110.988,91.2052,47.5432,27.2797,0.091,0.3153
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1000,11.7008,39.6607,11,3.3896,103.366,92.655,42.1292,38.7017,0.0987,0.2565
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1200,17.7725,42.0962,11,2.3686,103.366,93.7513,38.6854,41.3058,0.0989,0.2548
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1400,21.1211,43.6122,13,2.0649,101.4441,94.5742,35.0418,42.763,0.0978,0.2664
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1600,26.3209,44.944,14,1.7075,134.1505,95.1319,32.3172,44.4574,0.1054,0.2133
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1800,25.92,45.0844,18,1.7394,123.3267,95.0351,33.3835,44.5755,0.1086,0.198
Aizen_1994,Invertebrates,CON_C,2,CON_C_2,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,2000,27.7458,45.686,21,1.6466,133.6566,95.053,33.29,45.2043,0.1076,0.2026
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,200,11.0117,79.3103,1,7.2024,0,0,52.8977,79.3103,0.0139,0
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,400,9.1764,50.2183,3,5.4725,98.6056,94.1718,55.6518,49.4905,0.0815,0.3781
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,600,5.3463,40.2537,9,7.5293,129.6622,93.5121,48.9183,38.6515,0.0983,0.2567
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,800,5.8434,36.322,13,6.2159,110.988,91.2052,47.5432,27.2797,0.091,0.3153
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1000,11.7008,39.6607,11,3.3896,103.366,92.655,42.1292,38.7017,0.0987,0.2565
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1200,17.7725,42.0962,11,2.3686,103.366,93.7513,38.6854,41.3058,0.0989,0.2548
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1400,21.1211,43.6122,13,2.0649,101.4441,94.5742,35.0418,42.763,0.0978,0.2664
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1600,26.3209,44.944,14,1.7075,134.1505,95.1319,32.3172,44.4574,0.1054,0.2133
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,1800,25.92,45.0844,18,1.7394,123.3267,95.0351,33.3835,44.5755,0.1086,0.198
Aizen_1994,Invertebrates,CON_C,3,CON_C_3,continuous,continuous,-26.569439,-65.258565,yes,standardized_fragment,1,2000,27.7458,45.686,21,1.6466,133.6566,95.053,33.29,45.2043,0.1076,0.2026
Aizen_1994,Invertebrates,CON_L,1,CON_L_1,3.2,fragmented,-26.572663,-65.270481,yes,standardized_fragment,1,200,0,45.686,0,0,0,0,0,0,0,0
Aizen_1994,Invertebrates,CON_L,1,CON_L_1,3.2,fragmented,-26.572663,-65.270481,yes,standardized_fragment,1,400,0.2394,0.885,2,3.6968,606.51,57.1429,8.3542,0.7375,0.1133,0.1667
Aizen_1994,Invertebrates,CON_L,1,CON_L_1,3.2,fragmented,-26.572663,-65.270481,yes,standardized_fragment,1,600,0.2128,0.5366,3,2.5216,239.834,40,5.6983,0.4024,0.1259,0.1019
