"","refshort","patch_type","diversity_index","diversity_value"
"1","Aizen_1994","continuous","alphaC",1.9711001134652
"2","Aizen_1994","continuous","alphaC2",1.86593853353722
"3","Aizen_1994","continuous","beta_C",1.09975225935784
"4","Aizen_1994","fragmented","alphaC",1.73399550128656
"5","Aizen_1994","fragmented","alphaC2",1.65629925480838
"6","Aizen_1994","fragmented","beta_C",1.19479604242643
"7","Aizen_1994","fragmented","gamma_2_q0",3.4362731212228
"8","Aizen_1994","fragmented","gamma_2_q2",3.0626990740502
"9","Aizen_1994","continuous","gamma_2_q0",4.33393540390343
"10","Aizen_1994","continuous","gamma_2_q2",3.79615505999533
"11","Almeida-Gomes_2014","continuous","alphaC",2.16024013291152
"12","Almeida-Gomes_2014","continuous","alphaC2",1.92927636833204
"13","Almeida-Gomes_2014","continuous","beta_C",0.953488372093025
"14","Almeida-Gomes_2014","fragmented","alphaC",1.66238261235328
"15","Almeida-Gomes_2014","fragmented","alphaC2",1.51474793495079
"16","Almeida-Gomes_2014","fragmented","beta_C",1.16582993543994
"17","Almeida-Gomes_2014","fragmented","gamma_2_q0",3.68080889712634
"18","Almeida-Gomes_2014","fragmented","gamma_2_q2",2.65799402460565
"19","Almeida-Gomes_2014","continuous","gamma_2_q0",2.80255469327379
"20","Almeida-Gomes_2014","continuous","gamma_2_q2",2.29422107975491
"21","Arroyo_Rodriguez_2016","continuous","alphaC",14.7249486254941
"22","Arroyo_Rodriguez_2016","continuous","alphaC2",4.74749591974218
"23","Arroyo_Rodriguez_2016","continuous","beta_C",1.09957146189233
"24","Arroyo_Rodriguez_2016","fragmented","alphaC",11.1075038907624
"25","Arroyo_Rodriguez_2016","fragmented","alphaC2",4.90515070255564
"26","Arroyo_Rodriguez_2016","fragmented","beta_C",1.16632372641195
"27","Arroyo_Rodriguez_2016","fragmented","gamma_2_q0",12.9431418535809
"28","Arroyo_Rodriguez_2016","fragmented","gamma_2_q2",5.60088453223567
"29","Arroyo_Rodriguez_2016","continuous","gamma_2_q0",17.5546652228619
"30","Arroyo_Rodriguez_2016","continuous","gamma_2_q2",5.30470724344878
"31","Banks_Leite_2009","continuous","alphaC",28.7979637379059
"32","Banks_Leite_2009","continuous","alphaC2",19.5849069698474
"33","Banks_Leite_2009","continuous","beta_C",1.06725781175108
"34","Banks_Leite_2009","fragmented","alphaC",27.1831542070985
"35","Banks_Leite_2009","fragmented","alphaC2",17.8555042192072
"36","Banks_Leite_2009","fragmented","beta_C",1.07514411930286
"37","Banks_Leite_2009","fragmented","gamma_2_q0",38.9839516249998
"38","Banks_Leite_2009","fragmented","gamma_2_q2",22.4174869217211
"39","Banks_Leite_2009","continuous","gamma_2_q0",39.9068352725303
"40","Banks_Leite_2009","continuous","gamma_2_q2",24.8336201266905
"41","Bernard_2007","continuous","alphaC",13.1326099607873
"42","Bernard_2007","continuous","alphaC2",5.1415835223615
"43","Bernard_2007","continuous","beta_C",1.17012808778081
"44","Bernard_2007","fragmented","alphaC",10.9331566273671
"45","Bernard_2007","fragmented","alphaC2",6.23626720638892
"46","Bernard_2007","fragmented","beta_C",1.09691410173042
"47","Bernard_2007","fragmented","gamma_2_q0",17.2822192231408
"48","Bernard_2007","fragmented","gamma_2_q2",7.58649506373199
"49","Bernard_2007","continuous","gamma_2_q0",23.5552442766119
"50","Bernard_2007","continuous","gamma_2_q2",5.86199443643365
"51","Bogoni_2016","continuous","alphaC",12.6572583141753
"52","Bogoni_2016","continuous","alphaC2",6.75326080557244
