"","refshort","patch_type","diversity_index","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"1","Aizen_1994","fragmented","alpha",8.5,2.31840462387393,253,48.9274,27
"2","Aizen_1994","fragmented","gamma",14,3.9345689950089,253,48.9274,27
"3","Aizen_1994","fragmented","beta",1.64705882352941,0.173339888443375,253,48.9274,27
"4","Aizen_1994","continuous","alpha",16.5,3.7426696030475,55,59.8576,20
"5","Aizen_1994","continuous","gamma",26,5.52088169408969,55,59.8576,20
"6","Aizen_1994","continuous","beta",1.57575757575758,0.163576965212158,55,59.8576,20
"7","Almeida-Gomes_2014","fragmented","alpha",2.5,0.308606699924184,15,25.9426,104
"8","Almeida-Gomes_2014","fragmented","gamma",4,0.487950036474267,15,25.9426,104
"9","Almeida-Gomes_2014","fragmented","beta",1.6,0.204654826191805,15,25.9426,104
"10","Almeida-Gomes_2014","continuous","alpha",2.5,0,1,84.3287,33
"11","Almeida-Gomes_2014","continuous","gamma",3,0,1,84.3287,33
"12","Almeida-Gomes_2014","continuous","beta",1.2,0,1,84.3287,33
"13","Arroyo_Rodriguez_2016","fragmented","alpha",12,1.31558702896054,66,57.4243,71
"14","Arroyo_Rodriguez_2016","fragmented","gamma",14,1.80571483368943,66,57.4243,71
"15","Arroyo_Rodriguez_2016","fragmented","beta",1.16666666666667,0.0991960777230325,66,57.4243,71
"16","Arroyo_Rodriguez_2016","continuous","alpha",16,3.05505046330389,3,85.6412,22
"17","Arroyo_Rodriguez_2016","continuous","gamma",22,3.05505046330389,3,85.6412,22
"18","Arroyo_Rodriguez_2016","continuous","beta",1.375,0.0875060736473193,3,85.6412,22
"19","Banks_Leite_2009","fragmented","alpha",41,5.3619026473818,171,40.2046,84
"20","Banks_Leite_2009","fragmented","gamma",57,5.94851202584625,171,40.2046,84
"21","Banks_Leite_2009","fragmented","beta",1.39024390243902,0.0990600021829213,171,40.2046,84
"22","Banks_Leite_2009","continuous","alpha",35.5,1.14017542509914,6,87.1646,4
"23","Banks_Leite_2009","continuous","gamma",48,1.60208197875972,6,87.1646,4
"24","Banks_Leite_2009","continuous","beta",1.35211267605634,0.0353108589482065,6,87.1646,4
"25","Bernard_2007","fragmented","alpha",15.5,2.07781319957009,66,34.0919,33.5
"26","Bernard_2007","fragmented","gamma",22,2.58974128181946,66,34.0919,33.5
"27","Bernard_2007","fragmented","beta",1.41935483870968,0.10065627750873,66,34.0919,33.5
"28","Bernard_2007","continuous","alpha",22,3.3065591380366,10,83.4861,9
"29","Bernard_2007","continuous","gamma",30,5.93389510449175,10,83.4861,9
"30","Bernard_2007","continuous","beta",1.36363636363636,0.0860791299488934,10,83.4861,9
"31","Bogoni_2016","fragmented","alpha",11.5,1.04083299973307,3,82.1206,25
"32","Bogoni_2016","fragmented","gamma",16,1.52752523165195,3,82.1206,25
"33","Bogoni_2016","fragmented","beta",1.39130434782609,0.0642002390291178,3,82.1206,25
"34","Bogoni_2016","continuous","alpha",18,2.38047614284762,10,92.4225,3
"35","Bogoni_2016","continuous","gamma",22,2.70801280154532,10,92.4225,3
"36","Bogoni_2016","continuous","beta",1.22222222222222,0.0876533081299668,10,92.4225,3
"37","Bolger_1997","fragmented","alpha",3,1.38443731048635,105,28.9242,202
"38","Bolger_1997","fragmented","gamma",5,1.76494144804249,105,28.9242,202
"39","Bolger_1997","fragmented","beta",1.66666666666667,0.298696830742585,105,28.9242,202
"40","Bolger_1997","continuous","alpha",4,0.5,3,40.0291,199
"41","Bolger_1997","continuous","gamma",5,0.577350269189626,3,40.0291,199
"42","Bolger_1997","continuous","beta",1.25,0.089351827374585,3,40.0291,199
"43","Bossart_2006","fragmented","alpha",39.5,3.64348734044734,6,7.6417,136
"44","Bossart_2006","fragmented","gamma",49,4,6,7.6417,136
"45","Bossart_2006","fragmented","beta",1.24050632911392,0.0563497825571096,6,7.6417,136
"46","Bossart_2006","continuous","alpha",55,0,1,69.5881,49.5
"47","Bossart_2006","continuous","gamma",68,0,1,69.5881,49.5
"48","Bossart_2006","continuous","beta",1.23636363636364,0,1,69.5881,49.5
"49","Bossart_2016","fragmented","alpha",49,5.75036230742609,10,65.7326,31
"50","Bossart_2016","fragmented","gamma",66,6.73630297550354,10,65.7326,31
"51","Bossart_2016","fragmented","beta",1.3469387755102,0.0450469551429411,10,65.7326,31
"52","Bossart_2016","continuous","alpha",73.5,0,1,75.1473,72
"53","Bossart_2016","continuous","gamma",99,0,1,75.1473,72
"54","Bossart_2016","continuous","beta",1.3469387755102,0,1,75.1473,72
"55","Bragagnolo_2007","fragmented","alpha",9,1.17556133163882,28,43.88635,73
"56","Bragagnolo_2007","fragmented","gamma",14,1.80973265294415,28,43.88635,73
"57","Bragagnolo_2007","fragmented","beta",1.55555555555556,0.17879198447622,28,43.88635,73
"58","Bragagnolo_2007","continuous","alpha",13.5,3.16227766016838,28,87.84845,7
"59","Bragagnolo_2007","continuous","gamma",17,3.55753912924154,28,87.84845,7
"60","Bragagnolo_2007","continuous","beta",1.25925925925926,0.127508181913196,28,87.84845,7
"61","Cayuela_2006","fragmented","alpha",43.5,10.2591422643416,15,65.20295,51
"62","Cayuela_2006","fragmented","gamma",74,18.5325967650824,15,65.20295,51
"63","Cayuela_2006","fragmented","beta",1.70114942528736,0.18824423046185,15,65.20295,51
