refshort,patch_type,diversity_index,q_order,diversity_value,sd,n_pairs,habitat_amount,number_patches
Aizen_1994,continuous,alpha,q = 0,2.658584342,0.203587909,55,59.8576,20
Aizen_1994,continuous,alpha,q = 2,2.44261818,0.290419207,55,59.8576,20
Aizen_1994,continuous,gamma,q = 0,4.835353551,0.284772473,55,59.8576,20
Aizen_1994,continuous,gamma,q = 2,4.130839674,0.3985399,55,59.8576,20
Aizen_1994,continuous,beta,q = 0,1.81877004,0.179369086,55,59.8576,20
Aizen_1994,continuous,beta,q = 2,1.691152431,0.265130835,55,59.8576,20
Aizen_1994,fragmented,alpha,q = 0,2.493165121,0.386636186,231,48.9274,27
Aizen_1994,fragmented,alpha,q = 2,2.272199939,0.457952441,231,48.9274,27
Aizen_1994,fragmented,gamma,q = 0,4.486453527,0.607859081,231,48.9274,27
Aizen_1994,fragmented,gamma,q = 2,3.709211825,0.738505727,231,48.9274,27
Aizen_1994,fragmented,beta,q = 0,1.79950116,0.287978288,231,48.9274,27
Aizen_1994,fragmented,beta,q = 2,1.632431971,0.34966741,231,48.9274,27
Almeida-Gomes_2014,continuous,alpha,q = 0,2.15,0.353553391,1,84.3287,33
Almeida-Gomes_2014,continuous,alpha,q = 2,1.904761905,0.336717515,1,84.3287,33
Almeida-Gomes_2014,continuous,gamma,q = 0,2.595238095,0,1,84.3287,33
Almeida-Gomes_2014,continuous,gamma,q = 2,2.16,0,1,84.3287,33
Almeida-Gomes_2014,continuous,beta,q = 0,1.207087486,0,1,84.3287,33
Almeida-Gomes_2014,continuous,beta,q = 2,1.134,0,1,84.3287,33
Almeida-Gomes_2014,fragmented,alpha,q = 0,1.957202797,0.200545365,10,25.9426,104
Almeida-Gomes_2014,fragmented,alpha,q = 2,1.706857708,0.185557061,10,25.9426,104
Almeida-Gomes_2014,fragmented,gamma,q = 0,3.099572976,0.490978614,10,25.9426,104
Almeida-Gomes_2014,fragmented,gamma,q = 2,2.462631448,0.535131477,10,25.9426,104
Almeida-Gomes_2014,fragmented,beta,q = 0,1.583674916,0.298287041,10,25.9426,104
Almeida-Gomes_2014,fragmented,beta,q = 2,1.442786611,0.316211989,10,25.9426,104
Arroyo_Rodriguez_2016,continuous,alpha,q = 0,11.45276578,1.169336572,3,85.6412,22
Arroyo_Rodriguez_2016,continuous,alpha,q = 2,4.585944013,0.375792548,3,85.6412,22
Arroyo_Rodriguez_2016,continuous,gamma,q = 0,17.358921,1.034179291,3,85.6412,22
Arroyo_Rodriguez_2016,continuous,gamma,q = 2,5.310903134,0.559215801,3,85.6412,22
Arroyo_Rodriguez_2016,continuous,beta,q = 0,1.515696848,0.222626378,3,85.6412,22
Arroyo_Rodriguez_2016,continuous,beta,q = 2,1.158082855,0.117993071,3,85.6412,22
Arroyo_Rodriguez_2016,fragmented,alpha,q = 0,9.894401474,1.151879118,66,57.4243,71
Arroyo_Rodriguez_2016,fragmented,alpha,q = 2,4.859011749,0.981411033,66,57.4243,71
Arroyo_Rodriguez_2016,fragmented,gamma,q = 0,13.75486375,1.220040898,66,57.4243,71
Arroyo_Rodriguez_2016,fragmented,gamma,q = 2,5.712679133,0.957525484,66,57.4243,71
Arroyo_Rodriguez_2016,fragmented,beta,q = 0,1.390166327,0.157699741,66,57.4243,71
Arroyo_Rodriguez_2016,fragmented,beta,q = 2,1.17568745,0.232845149,66,57.4243,71
Banks_Leite_2009,continuous,alpha,q = 0,20.3890853,0.949585761,6,87.1646,4
Banks_Leite_2009,continuous,alpha,q = 2,15.41219262,1.149899406,6,87.1646,4
Banks_Leite_2009,continuous,gamma,q = 0,34.02663763,1.409630176,6,87.1646,4
Banks_Leite_2009,continuous,gamma,q = 2,22.62999459,1.184649814,6,87.1646,4
Banks_Leite_2009,continuous,beta,q = 0,1.668865333,0.048770386,6,87.1646,4
Banks_Leite_2009,continuous,beta,q = 2,1.468317659,0.048948467,6,87.1646,4
Banks_Leite_2009,fragmented,alpha,q = 0,19.49315833,2.001848923,171,40.2046,84
Banks_Leite_2009,fragmented,alpha,q = 2,14.33050461,2.072429994,171,40.2046,84
Banks_Leite_2009,fragmented,gamma,q = 0,32.49103712,2.517101302,171,40.2046,84
Banks_Leite_2009,fragmented,gamma,q = 2,20.52412353,2.159134029,171,40.2046,84
Banks_Leite_2009,fragmented,beta,q = 0,1.666791834,0.195800618,171,40.2046,84
Banks_Leite_2009,fragmented,beta,q = 2,1.432198244,0.263061198,171,40.2046,84
Bernard_2007,continuous,alpha,q = 0,8.077153459,0.769138098,10,83.4861,9
Bernard_2007,continuous,alpha,q = 2,4.502754435,0.622624655,10,83.4861,9
Bernard_2007,continuous,gamma,q = 0,15.21219919,1.435196866,10,83.4861,9
Bernard_2007,continuous,gamma,q = 2,5.557006158,0.770908956,10,83.4861,9
Bernard_2007,continuous,beta,q = 0,1.883361418,0.122256786,10,83.4861,9
Bernard_2007,continuous,beta,q = 2,1.234134847,0.14704991,10,83.4861,9
Bernard_2007,fragmented,alpha,q = 0,8.359437067,1.241390468,66,34.0919,33.5
Bernard_2007,fragmented,alpha,q = 2,5.507615037,1.099126375,66,34.0919,33.5
Bernard_2007,fragmented,gamma,q = 0,13.76952166,1.743607638,66,34.0919,33.5
Bernard_2007,fragmented,gamma,q = 2,7.206310099,1.36660479,66,34.0919,33.5
Bernard_2007,fragmented,beta,q = 0,1.647182884,0.256441387,66,34.0919,33.5
Bernard_2007,fragmented,beta,q = 2,1.308426615,0.318191853,66,34.0919,33.5
Bogoni_2016,continuous,alpha,q = 0,11.76829084,2.42655437,10,92.4225,3
Bogoni_2016,continuous,alpha,q = 2,6.663628742,2.326928902,10,92.4225,3
Bogoni_2016,continuous,gamma,q = 0,16.97471469,1.920114613,10,92.4225,3
Bogoni_2016,continuous,gamma,q = 2,8.143808301,2.182585238,10,92.4225,3
Bogoni_2016,continuous,beta,q = 0,1.442411216,0.238941577,10,92.4225,3
Bogoni_2016,continuous,beta,q = 2,1.222128155,0.574940526,10,92.4225,3
Bogoni_2016,fragmented,alpha,q = 0,10.60790214,0.551004674,3,82.1206,25
Bogoni_2016,fragmented,alpha,q = 2,4.756031158,1.556566382,3,82.1206,25
Bogoni_2016,fragmented,gamma,q = 0,15.00214945,0.696433006,3,82.1206,25
Bogoni_2016,fragmented,gamma,q = 2,7.118244328,1.523699684,3,82.1206,25
Bogoni_2016,fragmented,beta,q = 0,1.414242821,0.076146311,3,82.1206,25
Bogoni_2016,fragmented,beta,q = 2,1.496677396,0.292177483,3,82.1206,25
Bolger_1997,continuous,alpha,q = 0,1.83548008,0.142067863,3,40.0291,199
Bolger_1997,continuous,alpha,q = 2,1.530339146,0.124512797,3,40.0291,199
Bolger_1997,continuous,gamma,q = 0,2.530385864,0.176436945,3,40.0291,199
Bolger_1997,continuous,gamma,q = 2,1.847671407,0.114106525,3,40.0291,199
Bolger_1997,continuous,beta,q = 0,1.3785962,0.095893371,3,40.0291,199
Bolger_1997,continuous,beta,q = 2,1.207360742,0.070692182,3,40.0291,199
Bolger_1997,fragmented,alpha,q = 0,1.948661098,0.239671662,105,28.9242,202
Bolger_1997,fragmented,alpha,q = 2,1.656905183,0.208336689,105,28.9242,202
Bolger_1997,fragmented,gamma,q = 0,2.99256588,0.444442811,105,28.9242,202
Bolger_1997,fragmented,gamma,q = 2,2.230476185,0.369858133,105,28.9242,202
Bolger_1997,fragmented,beta,q = 0,1.535703608,0.23835719,105,28.9242,202
Bolger_1997,fragmented,beta,q = 2,1.346170081,0.225776864,105,28.9242,202
Bossart_2006,continuous,alpha,q = 0,41.00896206,2.009151145,1,69.5881,49.5
Bossart_2006,continuous,alpha,q = 2,13.44847485,4.790258063,1,69.5881,49.5
