"","refshort","patch_type","diversity_index","q_order","diversity_value","sd","n_pairs","habitat_amount","number_patches"
"1","Aizen_1994","continuous","alpha","q = 0",2.49691265322566,0.290528688663667,9,59.8576,20
"2","Aizen_1994","continuous","alpha","q = 2",2.23159999909498,0.390991760126222,9,59.8576,20
"3","Aizen_1994","continuous","gamma","q = 0",4.78595514007248,0.328801591828624,9,59.8576,20
"4","Aizen_1994","continuous","gamma","q = 2",4.04184045441758,0.50601807820702,9,59.8576,20
"5","Aizen_1994","continuous","beta","q = 0",1.91674912371872,0.207505073027416,9,59.8576,20
"6","Aizen_1994","continuous","beta","q = 2",1.81118500450651,0.314529688145593,9,59.8576,20
"7","Aizen_1994","fragmented","alpha","q = 0",2.50660684313404,0.396453064519625,17,48.9274,27
"8","Aizen_1994","fragmented","alpha","q = 2",2.30804566822805,0.483014556652539,17,48.9274,27
"9","Aizen_1994","fragmented","gamma","q = 0",4.32554242051247,0.630652926790925,17,48.9274,27
"10","Aizen_1994","fragmented","gamma","q = 2",3.51588044904293,0.76099777448508,17,48.9274,27
"11","Aizen_1994","fragmented","beta","q = 0",1.72565651145522,0.34415133581397,17,48.9274,27
"12","Aizen_1994","fragmented","beta","q = 2",1.52331494018581,0.431021703878548,17,48.9274,27
"13","Almeida-Gomes_2014","continuous","alpha","q = 0",2.15,0.353553390593274,1,84.3287,33
"14","Almeida-Gomes_2014","continuous","alpha","q = 2",1.9047619047619,0.336717514850737,1,84.3287,33
"15","Almeida-Gomes_2014","continuous","gamma","q = 0",2.59523809523809,0,1,84.3287,33
"16","Almeida-Gomes_2014","continuous","gamma","q = 2",2.16,0,1,84.3287,33
"17","Almeida-Gomes_2014","continuous","beta","q = 0",1.20708748615725,0,1,84.3287,33
"18","Almeida-Gomes_2014","continuous","beta","q = 2",1.134,0,1,84.3287,33
"19","Almeida-Gomes_2014","fragmented","alpha","q = 0",1.99825174825175,0.185230033631472,4,25.9426,104
"20","Almeida-Gomes_2014","fragmented","alpha","q = 2",1.75116106719368,0.16624842043859,4,25.9426,104
"21","Almeida-Gomes_2014","fragmented","gamma","q = 0",3.2842365967366,0.530835643417355,4,25.9426,104
